link,header,time,thumbnail,summary,date
/news-releases/champion-race-car-driver-and-founder-of-the-bob-bondurant-school-of-high-performance-driving-passes-away-at-88-301423540.html,Champion Race Car Driver and Founder of The Bob Bondurant School of High Performance Driving Passes Away at 88,2021-11-13 20:36:00,https://mma.prnewswire.com/media/1687647/bob_bondurant.jpg?p=thumbnail,"Breaking overnight, America's iconic World Champion Bob Bondurant has passed away in Paradise Valley, Arizona. He is survived by his wife, Pat....",2021-11-13
/news-releases/church-of-scientology-honors-and-helps-preserve-oaxacan-indigenous-culture-301423533.html,Church of Scientology Honors and Helps Preserve Oaxacan Indigenous Culture,2021-11-13 17:26:00,https://mma.prnewswire.com/media/1687631/Church_of_Scientology_International_Day_of_the_Dead.jpg?p=thumbnail,"Members of the Los Angeles Quilana community of Oaxaca, Mexico, gathered in East Hollywood to celebrate Dia de los Muertos, the Day of the Dead, at...",2021-11-13
/news-releases/rosen-leading-investor-counsel-encourages-lightning-emotors-inc-fka-gigcapital3-inc-investors-with-losses-to-secure-counsel-before-important-december-14-deadline-in-securities-class-action--zev-zevws-301423531.html,"ROSEN, LEADING INVESTOR COUNSEL, Encourages Lightning eMotors, Inc. f/k/a GigCapital3, Inc. Investors with Losses to Secure Counsel Before Important December 14 Deadline in Securities Class Action - ZEV, ZEV.WS",2021-11-13 16:42:00,https://mma.prnewswire.com/media/405060/Rosen_Law_Logo.jpg?p=thumbnail,"WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of the securities of Lightning eMotors, Inc. f/k/a GigCapital3, Inc....",2021-11-13
/news-releases/rosen-a-top-ranked-law-firm-encourages-nano-x-imaging-ltd-investors-with-losses-to-secure-counsel-before-important-december-6-deadline-in-securities-class-action--nnox-301423530.html,"ROSEN, A TOP RANKED LAW FIRM, Encourages Nano-X Imaging Ltd. Investors with Losses to Secure Counsel Before Important December 6 Deadline in Securities Class Action - NNOX",2021-11-13 16:20:00,https://mma.prnewswire.com/media/405060/Rosen_Law_Logo.jpg?p=thumbnail,"WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of the securities of Nano-X Imaging Ltd. (NASDAQ: NNOX) between June 17,...",2021-11-13
/news-releases/nasa-deputy-administrator-among-us-astronaut-hall-of-fame-inductees-301423529.html,NASA Deputy Administrator Among US Astronaut Hall of Fame Inductees,2021-11-13 16:04:00,https://mma.prnewswire.com/media/326469/nasa_logo.jpg?p=thumbnail,"NASA Deputy Administrator Pam Melroy, along with fellow veteran astronauts Michael Lopez-Alegria and Scott Kelly, were inducted into the U.S....",2021-11-13
/news-releases/senior-consultant-at-business-and-government-ethics-international-urges-its-time-for-a-global-climate-authority-301423525.html,Senior Consultant At Business And Government Ethics International Urges It's Time For A Global Climate Authority,2021-11-13 15:21:00,,"Dr. David E. McClean, Senior Lecturer at Rutgers University (United States), where he teaches philosophy and business ethics, and Sr. Consultant at...",2021-11-13
/news-releases/deadline-snap-inc-investors-with-substantial-losses-have-opportunity-to-lead-class-action-lawsuit---snap-301423360.html,DEADLINE: Snap Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit - SNAP,2021-11-13 15:06:00,,"The law firm of Robbins Geller Rudman & Dowd LLP announces that purchasers of Snap Inc. (NYSE: SNAP) securities between July 22, 2020 and October 21, ...",2021-11-13
/news-releases/usw-local-7600-announces-tentative-agreement-with-kaiser-permanente-301423518.html,USW Local 7600 Announces Tentative Agreement with Kaiser Permanente,2021-11-13 13:41:00,https://mma.prnewswire.com/media/95576/united_steelworkers_logo.jpg?p=thumbnail,United Steelworkers (USW) Local 7600 today announced that the union reached a tentative national and local agreement with Kaiser Permanente alongside ...,2021-11-13
/news-releases/-dialoge-zwischen-weltpreistragern-und-gen-z-wurde-erfolgreich-durchgefuhrt-eine-veranstaltung-die-sich-auf-die-gen-z-und-die-zukunft-der-wissenschaft-konzentriert-856187783.html,"„Dialoge zwischen Weltpreisträgern und Gen-Z"" wurde erfolgreich durchgeführt: eine Veranstaltung, die sich auf die Gen-Z und die Zukunft der Wissenschaft konzentriert",2021-11-13 13:38:00,https://mma.prnewswire.com/media/1686120/Promo.mp4?p=thumbnail,"Wie würde ein Gespräch zwischen zwei unterschiedlichen Gruppen - der Generation Z und den älteren Generationen - aussehen? CGTN Think Tank, die World ...",2021-11-13
/news-releases/tech-development-must-be-human-centric-takeaways-from-the-main-discussion-at-sbers-ai-journey-301423515.html,Tech development must be human-centric: takeaways from the main discussion at Sber's AI Journey,2021-11-13 13:24:00,,"Sber's international online conference ""Artificial Intelligence Journey"" culminated in a discussion titled ""AI Technology to Address Social Issues"",...",2021-11-13
/news-releases/rosen-globally-respected-investor-counsel-encourages-meta-platforms-inc-fka-facebook-inc-investors-with-losses-to-secure-counsel-before-important-deadline-in-securities-class-action-commenced-by-the-firm--fb-301423514.html,"ROSEN, GLOBALLY RESPECTED INVESTOR COUNSEL, Encourages Meta Platforms, Inc. f/k/a Facebook, Inc. Investors with Losses to Secure Counsel Before Important Deadline in Securities Class Action Commenced by the Firm - FB",2021-11-13 13:00:00,https://mma.prnewswire.com/media/405060/Rosen_Law_Logo.jpg?p=thumbnail,"WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of the securities of Meta Platforms, Inc. f/k/a Facebook, Inc. (NASDAQ:...",2021-11-13
/news-releases/strike-halted-tentative-agreement-reached-between-alliance-unions-and-kaiser-permanente-301423513.html,"Strike Halted, Tentative Agreement Reached Between Alliance Unions and Kaiser Permanente",2021-11-13 12:05:00,,"On Saturday, November 13, 2021, Kaiser Permanente and the Alliance of Health Care Unions reached tentative agreement on a four-year contract,...",2021-11-13
/news-releases/daim-releases-its-2022-digital-asset-investment-playbook-301423512.html,DAIM Releases its 2022 Digital Asset Investment Playbook,2021-11-13 12:04:00,https://mma.prnewswire.com/media/1687451/DAIM_New_Logo_for_Documents_Logo_Logo.jpg?p=thumbnail,Leading digital asset management firm DAIM has just released its 2022 Digital Asset Investment Playbook. Don't miss what's in store in this exciting...,2021-11-13
/news-releases/deadline-silverback-therapeutics-inc-investors-with-substantial-losses-have-opportunity-to-lead-class-action-lawsuit--sbtx-301423202.html,"DEADLINE: Silverback Therapeutics, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit - SBTX",2021-11-13 12:03:00,,Robbins Geller Rudman & Dowd LLP announces that purchasers or acquirers of: (1) Silverback Therapeutics Inc. (NASDAQ: SBTX) common stock pursuant...,2021-11-13
/news-releases/liberty-all-star-equity-fund-october-2021-monthly-update-301423511.html,Liberty All-Star Equity Fund October 2021 Monthly Update,2021-11-13 11:42:00,https://mma.prnewswire.com/media/1012043/All_Star_Funds_Logo.jpg?p=thumbnail,"Below is the October 2021 Monthly Update for the Liberty All-Star Equity Fund. (NYSE: USA) Liberty All-Star Equity Fund Ticker: USA Monthly Update,...",2021-11-13
/news-releases/liberty-all-star-growth-fund-inc-october-2021-monthly-update-301423509.html,"Liberty All-Star® Growth Fund, Inc. October 2021 Monthly Update",2021-11-13 11:26:00,https://mma.prnewswire.com/media/1012043/All_Star_Funds_Logo.jpg?p=thumbnail,"Below is the October 2021 Monthly Update for the Liberty All-Star Growth Fund, Inc. (NYSE: ASG) Liberty All-Star Growth Fund, Inc. Ticker: ASG...",2021-11-13
/news-releases/le-ministre-d-etat-a-la-communication-devusinh-chauhan-inaugure-la-nouvelle-installation-de-moulage-sous-pression-de-vvdn-828638054.html,"Le ministre d'État à la communication, Devusinh Chauhan, inaugure la nouvelle installation de moulage sous pression de VVDN",2021-11-13 11:05:00,https://mma.prnewswire.com/media/1687280/VVDN_Inauguration.jpg?p=thumbnail,"VVDN Technologies est la première société d'ingénierie et de fabrication électronique en Inde. L'honorable ministre d'État à la communication, Shri...",2021-11-13
/news-releases/das-dj-duo-nervo-und-heineken-r-starten-mit-einer-einzigartigen-heissluftballonshow-um-die-ruckkehr-der-f1-r-nach-brasilien-zu-feiern-889454397.html,"Das DJ-Duo NERVO und Heineken® starten mit einer einzigartigen Heißluftballonshow, um die Rückkehr der F1® nach Brasilien zu feiern",2021-11-13 10:53:00,https://mma.prnewswire.com/media/1687187/1.jpg?p=thumbnail,"Die Formel 1® kehrt an diesem Wochenende nach São Paulo zurück, und Heiniken®, der Rennsportpartner um den Welttitel, feiert auf spektakuläre Art und ...",2021-11-13
/news-releases/eyepoint-pharmaceuticals-reports-positive-interim-safety-and-efficacy-data-from-phase-1-davio-clinical-trial-evaluating-eyp-1901-for-the-treatment-of-wet-amd-301423504.html,EyePoint Pharmaceuticals Reports Positive Interim Safety and Efficacy Data from Phase 1 DAVIO Clinical Trial Evaluating EYP-1901 for the Treatment of Wet AMD,2021-11-13 10:50:00,https://www.multivu.com/players/English/8984051-eyepoint-pharmaceuticals-wet-amd-phase-1-davio-trial-efficacy-results/image/Embed_1636577845097-HR.jpg,"EyePoint Pharmaceuticals, Inc. (NASDAQ: EYPT), a pharmaceutical company committed to developing and commercializing therapeutics to improve the lives ...",2021-11-13
/news-releases/first-national-realty-partners-acquires-crossroads-south-a-201-404-sf-kroger-anchored-shopping-center-in-atlanta-ga-301423507.html,"First National Realty Partners Acquires Crossroads South, a 201,404 SF Kroger-Anchored Shopping Center in Atlanta, GA.",2021-11-13 10:40:00,https://mma.prnewswire.com/media/1687597/Crossroads_South_First_National_Realty_Partners.jpg?p=thumbnail,"First National Realty Partners (FNRP) is pleased to announce the acquisition of Crossroads South, a grocery-anchored shopping center located at 7965...",2021-11-13
/news-releases/kinder-joy-of-moving-tennis-trophy-international-master-2021-882817406.html,Kinder Joy of moving Tennis Trophy International Master 2021,2021-11-13 10:02:00,https://mma.prnewswire.com/media/1683661/Kinder_Joy_of_moving.jpg?p=thumbnail,"Después de más de 250 torneos en 13 países y más de 20.000 tenistas implicados, el Kinder Joy of moving Tennis Trophy ha celebrado su conclusión en...",2021-11-13
/news-releases/global-industrial-valves-market-sourcing-and-procurement-intelligence-report-top-spending-regions-and-market-price-trends-spendedge-301421420.html,Global Industrial Valves Market Sourcing and Procurement Intelligence Report| Top Spending Regions and Market Price Trends| SpendEdge,2021-11-13 09:30:00,https://mma.prnewswire.com/media/1684598/Industrial_Valves_Market_Procurement_Research_Report_1.jpg?p=thumbnail,"The Industrial Valves market will register an incremental spend of about USD 15.44 Billion, growing at a CAGR of 3.88% during the five-year forecast...",2021-11-13
